prov,urb_rur,mon,new_pt,relaps_rate,od_flag,szn_flag,sess_lag1,sess_lag2,sess_lag12,pred_demand
AB,R,2022-01-01,112,0,0,1,308,290,75,363.22
AB,R,2022-02-01,94,0,0,1,345,308,74,349.88
AB,R,2022-03-01,96,0,0,0,363,345,107,367.79
AB,R,2022-04-01,108,0,0,0,350,363,130,358.85
AB,R,2022-05-01,104,0,0,0,368,350,150,353.51
AB,R,2022-06-01,117,0,0,0,359,368,165,347.82
AB,R,2022-07-01,107,0,0,0,354,359,190,351.06
AB,R,2022-08-01,103,0,0,0,348,354,217,352.8
AB,R,2022-09-01,131,0,0,0,351,348,228,375.45
AB,R,2022-10-01,116,0,0,1,353,351,264,428.55
AB,R,2022-11-01,119,0,1,1,375,353,290,437.81
AB,R,2022-12-01,106,0,0,1,429,375,308,475.54
AB,R,2023-01-01,115,0,0,1,438,429,345,500.74
AB,R,2023-02-01,122,0,0,1,476,438,363,467.65
AB,R,2023-03-01,111,0,0,0,501,476,350,465.64
AB,R,2023-04-01,127,0,0,0,468,501,368,447.96
AB,R,2023-05-01,118,0,0,0,466,468,359,442.18
AB,R,2023-06-01,122,0,0,0,448,466,354,431.32
AB,R,2023-07-01,119,0,0,0,442,448,348,421.36
AB,R,2023-08-01,145,0,0,0,431,442,351,409.28
AB,R,2023-09-01,127,0,0,0,421,431,353,448.8
AB,R,2023-10-01,117,0,0,1,409,421,375,470.65
AB,R,2023-11-01,137,0,0,1,449,409,429,488.7
AB,R,2023-12-01,117,0,0,1,471,449,438,507.2
AB,R,2024-01-01,133,0,0,1,489,471,476,527.01
AB,R,2024-02-01,111,0,0,1,507,489,501,508.42
AB,R,2024-03-01,118,0,0,0,527,507,468,485.07
AB,R,2024-04-01,135,0,0,0,508,527,466,474.39
AB,R,2024-05-01,142,0,0,0,485,508,448,469.98
AB,R,2024-06-01,136,0,0,0,474,485,442,455.39
AB,R,2024-07-01,134,0,0,0,470,474,431,447.84
AB,R,2024-08-01,133,0,0,0,455,470,421,427.6
AB,R,2024-09-01,121,0,0,0,448,455,409,467.0
AB,R,2024-10-01,130,0,0,1,428,448,449,488.13
AB,R,2024-11-01,134,0,0,1,467,428,471,524.35
AB,R,2024-12-01,152,0,0,1,488,467,489,554.36
AB,R,2025-01-01,144,0,0,1,524,488,507,586.03
AB,R,2025-02-01,121,0,0,1,554,524,527,553.26
AB,R,2025-03-01,146,0,0,0,586,554,508,535.21
AB,R,2025-04-01,139,0,0,0,553,586,485,515.56
AB,R,2025-05-01,136,0,0,0,535,553,474,500.13
AB,R,2025-06-01,152,0,0,0,516,535,470,508.93
AB,R,2025-07-01,158,0,1,0,500,516,455,490.67
AB,R,2025-08-01,157,0,0,0,509,500,448,477.84
AB,R,2025-09-01,137,0,0,0,491,509,428,521.88
AB,R,2025-10-01,145,0,0,1,478,491,467,537.34
AB,R,2025-11-01,153,0,0,1,522,478,488,574.39
AB,R,2025-12-01,162,0,0,1,537,522,524,621.5
AB,R,2026-01-01,145,0,1,1,574,537,554,635.02
AB,R,2026-02-01,149,0,0,1,622,574,586,580.47
AB,R,2026-03-01,139,0,0,0,635,622,553,556.72
AB,R,2026-04-01,139,0,0,0,580,635,535,548.47
AB,R,2026-05-01,164,0,0,0,557,580,516,532.95
AB,R,2026-06-01,172,0,0,0,548,557,500,510.56
AB,R,2026-07-01,155,0,0,0,533,548,509,499.07
AB,R,2026-08-01,169,0,0,0,511,533,491,493.78
AB,R,2026-09-01,162,0,0,0,499,511,478,531.64
AB,R,2026-10-01,150,0,0,1,494,499,522,555.3
AB,R,2026-11-01,164,0,0,1,532,494,537,584.95
AB,U,2022-01-01,103,0,0,1,398,368,110,454.59
AB,U,2022-02-01,107,0,0,1,422,398,108,433.95
AB,U,2022-03-01,120,0,0,0,455,422,142,440.06
AB,U,2022-04-01,116,0,0,0,434,455,167,428.2
AB,U,2022-05-01,109,0,0,0,440,434,204,428.55
AB,U,2022-06-01,119,0,0,0,428,440,220,426.05
AB,U,2022-07-01,116,0,0,0,429,428,250,424.0
AB,U,2022-08-01,125,0,0,0,426,429,269,422.32
AB,U,2022-09-01,110,0,0,0,424,426,288,458.32
AB,U,2022-10-01,115,0,0,1,422,424,327,512.48
AB,U,2022-11-01,115,0,1,1,458,422,368,521.0
AB,U,2022-12-01,105,0,0,1,512,458,398,554.16
AB,U,2023-01-01,123,0,0,1,521,512,422,591.85
AB,U,2023-02-01,124,0,0,1,554,521,455,550.81
